Time(ms),CO2(ppm)
588601,976.25
589611,1001.41
590622,998.91
591634,1014.22
592646,1061.41
593655,1069.69
594667,1066.09
595679,974.84
596690,1004.84
597702,988.44
598712,1076.72
599724,1068.28
600735,1062.81
601747,1034.69
602757,961.56
603768,984.53
604780,1004.22
605792,1073.28
606801,1074.38
607813,1073.13
608825,1058.44
609837,972.97
610846,984.69
611858,975.78
612870,1064.53
613881,1058.75
614891,1060.63
615903,1074.53
616914,969.38
617926,977.97
618936,1017.97
619948,1030.63
620959,1065
621971,1069.06
622983,1062.81
623992,1019.22
625004,987.97
626016,987.03
627027,965.47
628037,1081.72
629049,1085.94
630061,1091.25
631072,1068.13
632082,1008.59
633094,978.13
634105,957.97
635117,1052.5
636127,1077.81
637138,1083.44
638150,1085.94
639162,1001.56
640174,965.31
641183,965.31
642195,1020.47
643207,1057.97
644218,1071.41
645228,1086.56
646240,1022.34
647251,988.75
648263,1003.13
649273,1021.88
650285,1080.31
651296,1055.78
652308,1061.09
653320,1003.75
654329,977.5
655341,1017.81
656353,1019.06
657364,1066.72
658374,1080.78
659386,1078.75
660398,1023.13
661409,1012.03
662419,979.38
663431,1018.44
664442,1071.25
665454,1072.5
666464,1067.66
667475,1015.31
668487,992.34
669499,980.47
670511,1030.78
671520,1072.97
672532,1069.53
673544,1071.41
674555,1031.25
675565,1025.78
676577,977.19
677588,1031.41
678600,1075.63
679610,1071.25
680622,1069.53
681633,1041.72
682645,1000.78
683655,980.16
684666,1059.53
685678,1091.88
686690,1070.94
687702,1081.72
688711,1036.88
689723,990.78
690735,1009.22
691746,1027.34
692756,1076.72
693768,1084.69
694779,1071.25
695791,1040.78
696801,998.28
697812,987.5
698824,983.91
699836,1066.56
700846,1074.69
701857,1079.06
702869,1069.53
703881,1020.63
704892,989.38
705902,976.88
706914,1065.16
707926,1061.09
708937,1065.63
709947,1081.88
710959,1000.94
711970,999.22
712982,996.72
713992,1034.84
715003,1080.94
716015,1074.06
717027,1075.94
718036,1012.66
719048,996.72
720060,1006.25
721072,986.72
722081,1075.47
723093,1077.81
724105,1081.41
725116,1051.41
726128,936.25
727138,998.13
728150,991.56
729161,1052.03
730173,1069.22
731183,1072.5
732194,1075.47
733206,1007.66
734218,955.78
735227,1001.88
736239,986.56
737251,1053.44
738263,1040.31
739272,1066.25
740284,1070.94
741296,972.97
742307,1007.97
743319,1020.78
744329,1035.47
745340,1064.53
746352,1071.88
747364,1061.56
748374,1047.19
749385,1001.72
750397,1015.78
751409,990.16
752418,1011.09
753430,1065.78
754442,1069.84
755453,1067.97
756465,1055.31
757475,990.16
758487,988.44
759498,1004.53
760510,1035.47
761520,1071.56
762531,1081.72
763543,1085.31
764555,1065.94
765564,978.75
766576,986.56
767588,983.91
768600,1044.38
769609,1069.69
770621,1073.13
771633,1072.19
772644,1032.97
773656,996.88
774666,989.69
775677,1010.16
776689,1066.41
777701,1058.28
778711,1061.09
779722,1053.44
780734,987.97
781746,974.84
782755,1005.63
783767,1066.25
784779,1060.31
785790,1067.03
786800,1028.91
787812,937.5
788824,1000.16
789835,1023.59
790847,1071.56
791857,1076.25
792868,1064.22
793880,998.75
794892,987.03
795901,992.97
796913,1030
797925,1072.81
798937,1084.22
